username,text,likes,retweets,replies,views,created_at
Supervielle_ARG,"Redes Sociales: Nuestros perfiles están verificados con una tilde azul o dorada (en X).

 Nunca vamos a pedirte códigos de seguridad, token, claves o cualquier otro tipo de información sensible.",1,0,1,275,2025-01-29T20:21:10.000Z
Supervielle_ARG," Si tenés sospechas de haber sufrido una estafa virtual comunicate, de inmediato, al 1168423330. Esta es una línea exclusiva para denuncias a la que podrás llamar todos los días, las 24h.

Conocé más en 
supervielle.com.ar/personas/servi
…",2,0,0,274,2025-01-29T20:21:10.000Z
Supervielle_ARG,"Experiencia Supervielle: tragos, puesta de sol y actividades recreativas en Pinamar",2,1,0,2000,2025-01-29T14:51:44.000Z
Supervielle_ARG,"Toda esta semana tenés un beneficio especial en Mercado Libre. 

Pagá con tu Tarjeta Supervielle Visa de crédito y disfrutá de 9 cuotas sin interés. 
Y si pagás con tu Tarjeta Supervielle Identité Visa de crédito tenés ¡12 cuotas sin interés!",3,0,3,467,2025-01-28T19:39:57.000Z
Supervielle_ARG,"¡No te lo pierdas y este verano comprá todo lo que quieras! 

Más info en 
supervielle.com.ar/personas/benef
…

Tu familia cerca, tu banco también. ",2,0,1,256,2025-01-28T19:39:58.000Z
Supervielle_ARG,"El Presidente del Club Godoy Cruz, Alejandro Chapini, junto a Bruno Arcucci, Head de Distribución y Ventas de 
@Supervielle_ARG
, y Nicolás Fernández, Chief Communications & Marketing Officer, firmaron un acuerdo de unión entre las entidades este lunes  

También, participaron",72,2,19,6000,2025-01-27T21:21:36.000Z
Supervielle_ARG," ¿Sabías que el 73,7% de los residuos en nuestras costas son plásticos? Colillas, envoltorios y fragmentos plásticos afectan a más de 32 especies marinas. Es hora de actuar.  ",2,0,1,286,2025-01-27T18:32:51.000Z
Supervielle_ARG,"Acciones que generan grandes cambios: participá en limpiezas costeras, usá botellas reutilizables y llevate tus residuos. Podemos hacer la diferencia. 

¡Cuidemos nuestras costas!  Inspirá a otros a sumarse al cambio.",1,0,1,253,2025-01-27T18:32:52.000Z
Supervielle_ARG,"Descubrí más sobre en @amigosdelapatagonia y sumate. 

Tu familia cerca, tu banco también.",0,0,0,244,2025-01-27T18:32:52.000Z
Supervielle_ARG,"Cada colilla de cigarrillo puede contaminar hasta 50 litros de agua y tarda más de 10 años en degradarse.  ¿Qué podés hacer? Reducí, reutilizá y llevate tu basura. ",1,0,1,17,2025-01-27T18:32:51.000Z
Supervielle_ARG,"Los plásticos fragmentados llegan al océano, afectando la fauna y a nosotros. Cada semana, sin darnos cuenta, ingerimos microplásticos en una cantidad equivalente al tamaño de una tarjeta de crédito. ",1,0,1,26,2025-01-27T18:32:52.000Z
