profile,text,reactions,comments,shares,created_at,followers
Cocos,"📊 Desayuno Financiero 

Recibimos en nuestras oficinas a algunos asesores que forman parte de Cocos AFI.

Compartimos una mañana de análisis económico conanalista de research de Cocos, quien presentó su mirada sobre macroeconomía y mercados.

Si sos Asesor Financiero Independiente, Agente Productor, Asesor Global de Inversión o Referenciador escribinos 👉y formá parte de espacios como este.",52,1,1,12/08/2025,52786
Cocos,"🌱 Industria nacional: Almadre 

Nació con el legado de generaciones de panaderos y hoy es una de las principales empresas de productos alimenticios de Argentina. Sus Pita Chips ya son un ícono saludable, vegano y natural, que incluso podés encontrar en vuelos de Aerolíneas Argentinas ✈️.

Almadre confía en Cocos para gestionar su capital y seguir creciendo de manera sostenible. Nos enorgullece acompañar a compañías que no solo producen, sino que también innovan y generan trabajo en el país.

👉 Desde Cocos Biz acompañamos a empresas y pymes de todo el país con soluciones financieras simples, ágiles y a medida.

📩 Si querés conocer cómo podemos ayudarte, escribinos a",34,0,2,11/09/2025,52786
Cocos,"Hoy tuve el placer de compartir una charla con Cocos, la plataforma de inversiones que revolucionó el acceso al mercado de capitales en Argentina 🇦🇷 y que ayer anunció su expansión como entidad bancaria 🏦 . Fui recibido con mucha calidez por los comerciales, la mesa y el área de banca privada, donde encontré un grupo curioso, entusiasmado y con ganas de construir lo que sigue.

Conversamos sobre:
🥥 La historia de la dominancia de las distintas criptomonedas.
🥥 La correlación entre diferentes activos y su relación con el S&P 500 (S&P 10 y S&P 490).
🥥 El análisis del Sharpe Ratio y su vínculo con los halvings de Bitcoin.
🥥 La baja correlación de Bitcoin con el Nasdaq como herramienta de diversificación.
🥥 Los Treasuries y la adopción de Bitcoin por parte de corporaciones, junto con los distintos ETFs cripto.
🥥 Un breve repaso por los 'original gangsters' y los inicios de la industria, basada en valores como la resistencia a la censura y la inmutabilidad.
🥥 El trilema entre descentralización, escalabilidad y seguridad en las criptomonedas.
🥥 Emisión monetaria, entre otros temas.

También hablamos de las stablecoins y su uso en pagos cross-border, como hacemos con Pix entre Argentina 🇦🇷 y Brasil 🇧🇷 .
Me alegra muchísimo ver que Cocos 🥥 , con su gen 🧬 innovador, sigue creciendo 🚀 a todo ritmo.

Gracias por el intercambio y las selfies🤳, la seguimos cuando quieran!",170,8,8,10/11/2025,52786
Cocos,"Es un orgullo anunciar que en cocos firmamos un acuerdo para adquirir el 100% del Banco Voii en Argentina.

Este paso estratégico fortalece nuestra misión de democratizar el acceso a las finanzas y consolidar un modelo de negocio sólido y sostenible.

Gracias a la incorporación de una licencia bancaria, ampliaremos nuestra oferta para sumar productos que complementen la experiencia financiera simple, segura y digital que ya brindamos a nuestros usuarios.

La adquisición de Banco Voii, financiada íntegramente con capital propio, y pagada 100% en efectivo, confirma la autonomía y el crecimiento sólido de la compañía. Esto nos convierte en una de las pocas fintech con licencia bancaria en Argentina, un diferencial competitivo poco común en el sector.

En apenas cuatro años, Cocos pasó de ser una idea a convertirse en una compañía con un equipo de 150 personas, más de un millón de usuarios y 1500 millones de dólares de activos bajo administración, todo esto sin inversión externa.

Elegimos el camino difícil: empezar de cero y sin atajos.
Creamos tecnología propia, desarrollamos productos y fondos, y competimos de igual a igual con los gigantes del mercado, siempre con un objetivo claro: democratizar el acceso a las inversiones y al ahorro.",164,11,11,10/11/2025,52786
Cocos,"📣 Hablamos el mismo idioma que la calle

El dólar está en las charlas de café, la sobremesa familiar, grupos de WhatsApp. Como un sonido cotidiano que atraviesa generaciones y refleja cómo los argentinos nos relacionamos con las finanzas.

Con esa idea en mente, durante el sábado distintos barrios porteños se vieron intervenidos por una caravana de chatarreros -un ícono de la cultura popular- resignificados para hablar de inversiones. Su inconfundible megáfono dejó de ofrecer compra de “colchones, heladeras y cocinas” para pregonar la compra y venta de dólar 24/7 en la app de Cocos.

Una manera distinta, cercana y auténtica de mostrar que lo que siempre estuvo en la calle hoy también está en tu celular, 100% digital.

La acción generó sorpresa y conversación en redes. Pero, sobre todo, reforzó nuestro propósito: hablar de inversiones de forma simple y acercar las finanzas a más personas",65,1,1,11/10/2025,52786
Cocos,"hashtag
#AbriendoCocos 🥥

Hoy recibimos en las oficinas a estudiantes de 5° año de ORT Argentinaacompañados por la profesora

Recorrieron los distintos equipos —mesa, comercial, IT y compliance— y conocieron de cerca cómo trabaja cada área desde adentro.

Nos encanta abrir las puertas de la oficina como espacio de aprendizaje para estudiantes. ¡Gracias por la visita!",100,0,4,13/07/2025,52786
Cocos,"En una nueva edición de CEO Talks de El Cronista, Hernán de Goñi le preguntó a Ariel Sbdar, Co-Founder de Cocos: “Si tuvieras que elegir una sola métrica para saber si Cocos está cumpliendo su propósito, ¿cuál sería?”

Ariel respondió una métrica transparente, fácil de medir y pública (ya que se puede consultar tanto en CAFCI como en la CNV): ""El patrimonio de nuestros fondos"".

📊 Hoy, los fondos de Cocos superan los ARS 700.000 millones en patrimonio. Durante los últimos 30 días, Cocos fue una de las gerentes que más activos sumó en Argentina.

Una señal clara de que estamos simplificando la vida de millones de argentinos, con herramientas simples, eficientes y con retornos competitivos.",153,1,1,13/07/2025,52786
Cocos,"Ya podés consultar el 
hashtag
#Ranking🏆 de Volumen de Terceros de Julio 2025.
Datos que reflejan la participación en 
hashtag
#Futuros y 
hashtag
#Opciones.



||||||||
|",78,0,15,12/08/2025,52786
Cocos,"hashtag
#AbriendoCocos 🥥

Hoy recibimos la visita de un grupo de estudiantes de Economía, Economía Empresarial y Tecnología de la, que ganaron un sorteo en la Job Fair y se sumaron a vivir una mañana con nosotros.

El premio los llevó directo a las oficinas de Cocos, donde compartimos un desayuno, recorrimos los distintos equipos —mesa, comercial, IT y compliance— y conocieron de cerca cómo trabaja cada área.

¡Gracias por venir y ser parte de esta experiencia!",239,7,7,13/07/2025,52786
Cocos,"“El miedo no desaparece, se domina tomando decisiones”

Esta tarde en el Centro de Convenciones Córdoba, Ariel Sbdar CEO y co-founder de Cocos, participó de la Experiencia
y puso en palabras algo que muchas veces cuesta admitir: el miedo es una emoción común que puede estar presente en cada paso. En el trabajo, en las relaciones, al emprender, invertir, etc.

Pero ese miedo, canalizado con acción, puede ser motor de cambio. Porque decidir, incluso con miedo, es la forma de avanzar. Así nació Cocos. Del miedo a quedarse afuera del sistema financiero, a no entender, a no tener acceso y esa emoción se transformó en propósito: acompañar a más personas a tomar decisiones financieras sin paralizarse. Porque ""cuando decidís, el miedo empieza a achicarse y la preocupación desaparece"".

Por último compartió herramientas concretas para enfrentar el miedo:
✔️ Definirlo por escrito
✔️ Evaluar el peor escenario posible
✔️ Aceptarlo mentalmente
✔️ Empezar a mejorar la situación desde ahora

Graciaspor abrir estos espacios que inspiran y conectan y gracias a quienes se acercaron a escuchar.",104,2,2,13/06/2025,52786
Cocos,"hashtag
#AbriendoCocos 🥥

Hoy recibimos la visita de estudiantes del Club de Finanzas UBA quienes recorrieron nuestras oficinas y conocieron de cerca cómo trabajamos.

Durante el encuentro, charlaron con representantes de diferentes áreas profundizando en el día a día de cada equipo y en el impacto que generan para simplificar la vida financiera de millones de argentinos.

¡Gracias por la visita y gracias al equipo de People de Cocos por abrir las puertas y coordinar este evento enriquecedor!",119,3,3,14/05/2025,52786
