username,text,likes,retweets,replies,views,created_at
brubankarg,"¡Aprovecha este beneficio! Los días viernes 19 y viernes 26 de Julio paga con tu QR a través de Brubank en los comercios de Shoppings adheridos y te reintegramos el 20% sin tope.

Para más información, consulta los comercios adheridos: 
help.brubank.com/es/articles/96
…",8,0,5,2000,2024-07-19T17:26:45.000Z
brubankarg,"AVISO IMPORTANTE 
Hoy Brubank opera con total normalidad. 
Tu banco 24/7",65,5,10,6000,2024-07-19T17:13:52.000Z
brubankarg,"Eu, ¿te venís perdiendo de todos los reintegros de Brubank?

Te explicamos cómo hacer para aprovechar todas nuestras promos, seguí los pasos, girá la ruedita en el día de la promo y ahorrá con Brubank.

Si tenés alguna pregunta sobre la ruedita, te compartimos nuestras",9,1,7,3000,2024-07-18T20:18:49.000Z
brubankarg,"Salí de tu casa sin tu billetera, posta no la necesitás. Con Brubank, ahora escaneás cualquier QR y podés pagar con tarjeta de crédito.

Salís, escaneás y pagás ",17,4,6,3000,2024-07-15T21:00:01.000Z
brubankarg,"Tenemos nueva funcionalidad 

Ahora, podés pagar por tus consumos internacionales directamente con tus dólares. Antes de hacer tu compra, elegí si querés pagar en dólares o pesos.

Configuralo desde la app y cambialo las veces que quieras. ",110,8,82,16000,2024-07-04T21:35:29.000Z
brubankarg,"Hoy salí de la oficina y andá derechito por un “cafecitoooooo” porque tenés un 20% OFF en la Panera Rosa pagando con tu tarjeta de débito Brubank . 

Tope de reintegro: $1.000.",5,1,31,11000,2024-02-21T18:09:34.000Z
brubankarg,"Arrancá el finde con las compras que necesitás. Hoy, 20% OFF en Farmacity pagando con tu tarjeta de débito Brubank. 

Tope de reintegro: $1.000.",6,0,25,9000,2024-02-16T14:38:29.000Z
brubankarg,"El 14 de febrero es para festejar el amor ,.. ¡De la forma que quieras! 

Aprovecha hoy todas las promos que tenés con tu tarjeta de débito Brubank y enamórate una y mil veces más de comer rico. Chequeá las promos en el hilo ",6,0,16,7000,2024-02-14T21:36:48.000Z
brubankarg,"Venís queriéndote hacer algo. Cortarte el pelo, teñirte, rebajarte, algo… 

Con tu tarjeta de débito Brubank tenés un 70% OFF en Cerini para que no lo pienses más. 

Tope de reintegro: $7.000.",7,1,29,6000,2024-02-09T11:39:30.000Z
brubankarg,"Llegaste hasta la mitad de la semana como pudiste. Seguila mejor. Hoy, 20% OFF en Cervelar pagando con tu tarjeta de débito Brubank.  

Tope de reintegro: $1.000.",7,1,29,7000,2024-02-07T12:36:46.000Z
brubankarg,"Cobrá tu sueldo en Brubank y desbloqueá un universo bancario superior .

Tarjeta de crédito Visa sin costo, BruPlus bonificado, atención VIP, ¡y mucho más!",29,5,109,22000,2024-01-10T18:41:37.000Z
brubankarg,"Elegí la combinación de fondos que mejor se adapte a tus objetivos o un fondo en específico y hacé que tu plata no pierda valor. 

No implica una recomendación de compra o asesoramiento. No se garantiza el resultado de la inversión.

Aplican términos y condiciones. Más",19,2,120,15000,2023-12-28T21:01:53.000Z
brubankarg,"Ahorrate la impaciencia de no saber dónde estacionar y la ansiedad de esperar al bondi .

¡Viajá todos los días con un 30% OFF en Cabify! Pagá con tu tarjeta de débito Brubank, abrochate el cinturón y disfrutá de ahorrar. Exclusivo BruPlus .",15,2,71,13000,2023-10-04T16:12:01.000Z
