username,text,likes,retweets,replies,views,created_at,best_trend,trend_similarity,best_trend_position
uala_arg,"Comprá Dólares desde la App. 100% online y los recibís al instante.
Y si querés, podés invertirlos en el FCI Ahorro en Dólares, que rinde 6% estimado anual .",0,0,2,698,2025-07-04T18:40:24.000Z,,0.0,
uala_arg,"y las novedades de inversiones son...

1. Subimos el tope de tu Cuenta Remunerada a $1.500.000  Tu plata podría rendir hasta 35% TNA, la más alta del mercado.",10,0,14,4000,2025-07-02T18:13:41.000Z,,0.0,
uala_arg,"2. ¡Ahora podés ver cuánto te falta para alcanzar la Tasa Plus desde la app! Cuando la abras vas a encontrar la barra que va a marcar tu progreso. ¡No te cuelgues en llegar a los $500.000! 

 También vas a poder simular cuánto rinde tu plata con la Tasa Plus desde el nuevo",1,0,4,3000,2025-07-02T18:14:54.000Z,,0.0,
uala_arg,"3. ¡Subieron las tasas de los Plazos Fijos 
30 días  33% TNA
90 días  36% TNA
180 días  38% TNA
365 días  40% TNA",3,1,6,3000,2025-07-02T18:15:55.000Z,,0.0,
uala_arg,Uno que sabe hacer rendir su plata,7,0,6,5000,2025-07-02T13:53:17.000Z,,0.0,
uala_arg,"Como lo dijo Juli
Hasta 100% de reintegro en tus viajes en subte pagando con la tarjeta prepaga o de crédito desde el celular. 
Ahorrás hasta $20.000 durante todo julio ",18,0,12,9000,2025-07-01T13:17:32.000Z,,0.0,
uala_arg,Muuuuuuy fin de mes. Pero estas promos te pueden salvar,22,4,9,20000,2025-06-30T14:03:40.000Z,,0.0,
uala_arg,"Queremos avisarte sobre la existencia de un juicio que inició la Asociación Protección Consumidores del Mercado Común del Sur (en adelante la “Asociación”) contra Ualá.
¿Cómo saber si estoy incluido en la demanda? Formas parte de los consumidores representados por la Asociación",0,0,0,2000,2025-06-28T06:00:50.000Z,,0.0,
uala_arg,"Julio se asoma y viene con novedades para sus inversiones 
Estén atentos...",62,3,6,6000,2025-06-27T20:40:54.000Z,,0.0,
uala_arg,Queremos avisarte sobre la existencia de un juicio que inició la Asociación Protección Consumidores del Mercado Común del Sur (en adelante la “Asociación”) contra Ualá. ¿Cómo saber si estoy incluido en la demanda? Formas parte de los consumidores representados por la Asociación,1,0,1,2000,2025-06-27T18:50:26.000Z,,0.0,
uala_arg,Cuando viajas en subte  lo primero que pensas es:,0,0,5,2000,2025-06-25T17:23:20.000Z,,0.0,
uala_arg,Sacate una preocupación de encima. Pagá el subte con las tarjetas de Ualá desde el celu y tenés hasta 100% de reintegro en tu pasaje. Ahorrá hasta $20.000.,3,0,2,2000,2025-06-25T17:25:35.000Z,,0.0,
uala_arg,"Queremos avisarte sobre la existencia de un juicio que inició la Asociación Protección Consumidores del Mercado Común del Sur (en adelante la “Asociación”) contra Ualá.
¿Cómo saber si estoy incluido en la demanda? Formas parte de los consumidores representados por la Asociación",3,0,4,2000,2025-06-25T06:01:29.000Z,,0.0,
uala_arg,"En un año ya hicimos rendir más de $35 mil millones con la Cuenta Remunerada. Hoy, sigue rindiendo hasta 35% TNA.
Esos $35 mil millones son: 85.000 pasajes a Brasil , 30.000 autos, 70 deptos  en CABA, 12.500 celulares  de alta gama…

¿Y vos? ¿Cómo hiciste rendir tu plata",4,0,6,2000,2025-06-24T14:10:20.000Z,,0.0,
uala_arg,"Queremos avisarte sobre la existencia de un juicio que inició la Asociación Protección Consumidores del Mercado Común del Sur (en adelante la “Asociación”) contra Ualá.
¿Cómo saber si estoy incluido en la demanda? Formas parte de los consumidores representados por la Asociación",1,1,5,3000,2025-06-24T06:01:16.000Z,,0.0,
uala_arg,"Si vas a salir al super con este frío, al menos que sea con promos:
25% de reintegro en Coto con las tarjetas Ualá.
hasta 25% de reintegro en Carrefour Express con las tarjetas Ualá.
Aprovechá las promos de hoy 

Aplica TyC",8,0,4,2000,2025-06-23T19:26:39.000Z,,0.0,
uala_arg,"Queremos avisarte sobre la existencia de un juicio que inició la Asociación Protección Consumidores del Mercado Común del Sur (en adelante la “Asociación”) contra Ualá.
¿Cómo saber si estoy incluido en la demanda? Formas parte de los consumidores representados por la Asociación",3,1,5,3000,2025-06-23T06:01:26.000Z,,0.0,
uala_arg,"Queremos avisarte sobre la existencia de un juicio que inició la Asociación Protección Consumidores del Mercado Común del Sur (en adelante la “Asociación”) contra Ualá.
¿Cómo saber si estoy incluido en la demanda? Formas parte de los consumidores representados por la Asociación",3,0,3,3000,2025-06-22T06:00:50.000Z,,0.0,
