profile,text,reactions,comments,shares,created_at,followers
Nu,"Vem aí mais uma edição do Meetup de Data Science & Machine Learning do Nubank

No dia 29 de julho, daremos continuidade à nossa jornada de meetups no Nubank, trazendo mais conhecimento sobre infraestrutura de dados e inteligência artificial.
Para este evento exclusivo, teremos a honra de receber Filipe Polizel, Staff Machine Learning do Nubank. Ele compartilhará seu conhecimento sobre representação de conhecimento integrada a LLMs para sistema de raciocínio em finanças.

Se você quer aprender mais sobre a teoria, a prática e os desafios da construção desses sistemas inteligentes, este evento é para você!

Marque nos comentários aquela pessoa que não pode perder essa conversa! 👇",262,5,5,12/08/2025,5820091
Nu,"A Clojure South está de volta! 

Após 6 anos, a maior conferência de Clojure da América do Sul retorna a São Paulo com dois dias de programação imperdível, que incluem workshops e palestras com convidados nacionais e internacionais.

Acesse nosso sitee acompanhe também as novidades do evento no perfil @clojure_south no X (Twitter).

Datas para ficar de olho:
31/07: Abertura da pré-venda de ingressos e da chamada de palestrantes (C4P)
08/08: Início do primeiro lote de ingressos

Não deixe de marcar nos comentários quem precisa saber dessa novidade! Tem muita coisa boa vindo por aí!",318,7,7,12/08/2025,5820091
Nu,"No Nubank, não basta criar soluções incríveis. É preciso garantir que elas sejam seguras e sustentáveis. 

Esse é o trabalho do Jhony e do time de Auditoria Interna do Nubank. Eles entram em campo depois que os produtos são lançados e os riscos analisados, fazendo uma checagem contínua pra garantir que tudo esteja funcionando do jeito certo.

🎬 Assista ao vídeo e veja como a confiança se constrói nos detalhes.

👉 Se isso te inspira, imagina ser parte desta história! Leia mais em nosso blog:",406,13,13,11/09/2025,5820091
Nu,"Sabe aquela experiência que parece feita sob medida pra você? Tem muita tecnologia e inteligência por trás disso.

Quando o app acerta na sugestão. Quando a resposta chega mais rápido. Quando tudo flui sem você nem perceber.

Nada disso é acaso. Ali por trás, existe um sistema aprendendo, testando, evoluindo. E tem gente como o Flávio, Machine Learning Manager, garantindo que a tecnologia esteja sempre um passo à frente.

👉 Se isso te inspira, imagina ser parte desta história! Leia mais em nosso blog:",283,12,12,11/09/2025,5820091
Nu,"Cada funcionalidade do cartão de crédito do Nubank - do processamento da compra ao fechamento da fatura - passa pelas mãos de engenheiros e engenheiras de software como a Vitoria.

Mais do que escrever códigos, o desafio está em conectar infraestruturas, manter tudo rodando com precisão e, principalmente, entender o impacto real de cada decisão.

Porque aqui, até o trabalho mais técnico é guiado por um propósito maior: simplificar a vida financeira de milhões de pessoas.

👉 Se isso te inspira, imagina ser parte desta história! Leia mais em nosso blog:",492,12,12,11/09/2025,5820091
Nu,"Na terça-feira, 24 de junho, realizaremos mais uma edição do nosso Meetup de Data Science & Machine Learning aqui no Nubank! O evento acontecerá de forma online, das 19h às 21h, com inscrição totalmente gratuita.

Nossos convidados da noite serão Machine Learning Engineers do Nubank: Caroline Custódio, Lucas Nolasco, Luiz Félix e Otávio Vasques, que falarão sobre uma série de aplicações de tecnologia de streaming de dados para modelos de Machine Learning, continuando a conversa que tivemos na última edição do nosso meetup.

Para participar, basta se inscrever no formulário inserido no evento abaixo. As vagas são limitadas.

Além disso marque nos comentários o @ de quem você acha que vai se interessar em participar do meetup com você!",266,11,11,13/07/2025,5820091
Nu,"Você já parou pra pensar em tudo que acontece nos bastidores da experiência que você tem com o Nubank?

Por trás de cada solução e de cada funcionalidade, existe uma cadeira. E por trás de cada cadeira, existe alguém construindo o extraordinário, todos os dias. Cada detalhe que parece simples, na verdade, é resultado de times inteiros que testam e se desafiam o tempo todo.

Agora, chegou a hora de conhecer quem cria as soluções que facilitam a vida financeira de milhões de pessoas.

Assista ao vídeo completo, leia mais sobre essas histórias e descubra qual pode ser a sua oportunidade de se juntar ao nosso time:",1035,38,38,11/09/2025,5820091
Nu,"Vem aí mais uma edição do Meetup de Data Science & Machine Learning!

No dia 05 de junho, daremos continuidade à nossa jornada de encontros, trazendo mais conhecimento sobre infraestrutura de dados e inteligência artificial.

Para este evento exclusivo, teremos a honra de receber André Midea, Gerente de Engenharia do Nubank. Ele compartilhará seu conhecimento sobre um tema crucial na produção de soluções de Inteligência Artificial: Streaming de Dados.

Se você quer aprender mais sobre a teoria, a prática, os desafios da construção dessas plataformas e como integrá-las aos seus modelos e soluções de Inteligência Artificial, este evento é para você!

Marque nos comentários aquela pessoa que não pode perder essa conversa! 👇

O evento será híbrido, com vagas online e vagas presenciais limitadas. Faça sua inscrição no formulário do evento.",267,27,27,13/06/2025,5820091
Nu,"O Nu apresentou mais um trimestre forte, com US$ 3,2 bilhões em receita e alcançando quase 119 milhões de clientes na região. Como testemunho do nosso foco no cliente, convidamos alguns deles para compartilhar sua experiência com nosso atendimento.

Na NuHeadlines deste mês, leia também sobre a nomeação prevista do ex-presidente do Banco Central do Brasil, Roberto Campos Neto, para a Diretoria Executiva e o Conselho de Administração, o avanço da parceria com a OXXO no México, e o lançamento de “Cajitas para mi gente” na Colômbia.",1560,68,68,13/06/2025,5820091
Nu,"Como escalar a detecção de fraudes em milhões de transações por minuto — sem comprometer a experiência do cliente?

No próximo Engineering Meetup do Nubank, vamos explorar como a engenharia de software vem revolucionando a prevenção de fraudes em larga escala.

Na primeira palestra nosso time apresenta a Defense Platform — solução construída internamente para processar até 5 milhões de requisições por minuto. Na sequência, recebemos a, que compartilha como instituições financeiras estão modernizando seus sistemas antifraude com o Amazon SageMaker Unified Studio.

Se você trabalha com engenharia, arquitetura de sistemas, dados ou segurança — ou simplesmente se interessa por soluções que protegem milhões de pessoas — esse evento é pra você.

Marque nos comentários quem precisa saber desse evento!
Mais detalhes e inscricoes, na descrição!
Até lá!",322,23,23,13/06/2025,5820091
