Id,Username,Text,Created At,Retweets,Likes,Quote_count,Reply_count,View_count
1859335036270674151,belo 🌎,"Reservá hoteles y transportes, transferí a brasileños y pagá en miles de comercios y hasta en la playa con Pix, el método de pago más popular en el país, al tipo cambio más conveniente 🇧🇷

Pasá el dato y salvá a un viajero 🫂 Cómo funciona 🧵👇 https://t.co/1bjn8J9a2q",Wed Nov 20 20:36:32 +0000 2024,9,27,1,4,10697
1858911117906509937,belo 🌎,"Quiero viajar a Brasil 🇧🇷 pero... ¿Qué necesito llevar?, ¿el DNI me sirve?, ¿y los papeles para el auto?, ¿y el seguro de viaje? 😱

No desesperes, porque lo resolvimos todo en esta guía para que sólo pienses en qué playa te vas a relajar 🏖️👇 https://t.co/ULHzPpH2lO",Tue Nov 19 16:32:02 +0000 2024,3,10,1,3,2991
1858896431257457077,belo 🌎,"VENCE MAÑANA 😱

Si te colgaste con el monotributo, o tenés VEPs pendientes, no salgas corriendo 🏃‍♂️‍❌, porque ya podés pagarlos desde tu billetera de belo ✅

Buscá en la lupita, escaneá el QR o ingresá el código, pagá y listo, a otra cosa 💆🏻",Tue Nov 19 15:33:40 +0000 2024,1,7,0,3,1853
1858608905447686548,belo 🌎,"🤔 ¿Cómo transferir dólares al exterior desde Argentina? 🇦🇷🇺🇸

📝 Si necesitas enviar dólares a Estados Unidos, Canadá, Ecuador, Panamá, Perú o la Unión Europea, ya está disponible un nuevo artículo en el blog de belo con todo lo que necesitas saber 👇 https://t.co/82S765RO81",Mon Nov 18 20:31:08 +0000 2024,3,6,0,4,2246
1858599193855881417,belo 🌎,"OFERTAS en STEAM hasta el 21.11 🎮 Hasta 90% de DESCUENTO 🤑

Y comprando desde Tiendas Virtuales con pesos o cualquier moneda en la app de belo te sale aún más BARATO 💸

Guía de cómo pagar en Steam con belo 🧵👇 https://t.co/m2OuIybYga",Mon Nov 18 19:52:33 +0000 2024,3,12,0,2,2714
1856429992915218555,belo 🌎,"🤔 ¿Qué es, cómo conseguir trabajo y recibir pagos con Fiverr en Argentina?

📝 Si te haces estas preguntas o estás comenzando a trabajar freelance de forma remota, ya está disponible un nuevo artículo en el blog de belo con todo lo que necesitas saber 👇",Tue Nov 12 20:12:55 +0000 2024,5,8,0,12,3067
1856412796340318572,belo 🌎,La comunidad anda diciendo… 💜🇨🇱 https://t.co/SsrSmp0Uzj,Tue Nov 12 19:04:35 +0000 2024,5,17,1,7,2972
1855964776003751962,belo 🌎,¡Buen lunes! Por casualidad... ¿Cómo vienen sus ahorros automáticos? 🤔🔥 https://t.co/y8JHCzkgIG,Mon Nov 11 13:24:19 +0000 2024,2,22,2,8,6499
1854980356786573355,belo 🌎,"Hicimos una nueva entrega de los PalaAwards 🏆

Un reconocimiento merecido por parte de sus compañeros a aquellos que todos los días levantan la pala en el equipo de belo 💪

Felicitaciones a los ganadores 🚀 https://t.co/kLyF5wmpzp",Fri Nov 08 20:12:35 +0000 2024,4,41,3,9,4656
1854950010003014133,belo 🌎,"Se EXTENDIÓ el #CyberMonday 🔥

Usá tu belo Mastercard en cualquier tienda virtual para aprovechar todos los descuentos 🤑

👉 Con belo, tu saldo en cripto se convierte automáticamente a pesos al mejor cambio. Sólo tenés que configurar tus monedas de pago 🪙 https://t.co/bjqy3U7EBS",Fri Nov 08 18:12:00 +0000 2024,1,7,0,0,1926
