username,text,likes,retweets,replies,views,created_at,images
infobae,Lali brilló con un look sofisticado en la inauguración del Festival de Cine San Sebastián | Por Lucía Consiglieri,3,0,4,4000,2025-09-20T11:10:00.000Z,
infobae,"[OPINIÓN] Milei, sacudido por su propia criatura: el “no” mileismo, mucho más que el peronismo K | Por Eduardo Aulicino",2,1,1,4000,2025-09-20T10:55:00.000Z,
infobae,Un diputado denunció opacidad y conflicto de intereses en la elección del Defensor del Niño | Por Claudia Peiró,2,0,0,4000,2025-09-20T10:51:01.000Z,
infobae,"[OPINIÓN] Trata de personas, una herida sangrante en nuestra sociedad | Por Jorge Lozano",6,2,0,4000,2025-09-20T10:51:00.000Z,
infobae,"Tras otra semana adversa, el Gobierno oscila entre el contraataque y la victimización para paliar la crisis | Por Brenda Struminger",2,1,2,4000,2025-09-20T10:50:57.000Z,
infobae,“Que se decida pronto”: los pedidos dentro del Gobierno para que Milei ordene la interna en Casa Rosada | Por Julián Alvez,2,0,2,3000,2025-09-20T10:50:00.000Z,
infobae,La CIDH exige ingresar a Venezuela para verificar denuncias de violaciones a los derechos humanos y pide acceso a El Helicoide,1,1,0,3000,2025-09-20T10:44:44.000Z,
infobae,[OPINIÓN] La paradoja de Milei: Cuando el éxito fiscal no alcanza | Por Nicolás Cachanosky,0,0,0,3000,2025-09-20T10:44:42.000Z,
infobae,[OPINIÓN] Cuando el relato absuelve y el rumor condena: CFK y Milei | Por Fishel Szlajen,2,1,1,3000,2025-09-20T10:42:47.000Z,
infobae,[OPINIÓN] Liquidez y riesgo: el complejo acceso al financiamiento pyme durante la carrera electoral | Por Damián Di Pace,0,0,0,3000,2025-09-20T10:42:45.000Z,
infobae,"En medio de la crisis interna, Milei viaja a Nueva York para hablar en la ONU y lograr una foto con Trump | Por Federico Galligani",1,0,2,3000,2025-09-20T10:42:41.000Z,
infobae,De los bolsos a los cuadernos: el teléfono rojo del arrepentido José López,2,0,0,3000,2025-09-20T10:40:28.000Z,
